,word
正常,6
啦啦隊長,6
女性,6
公關,6
樣子,6
阿姨,6
男朋友,6
YT,6
定居,6
賣力,6
土風舞,5
頭髮,5
上班,5
發言,5
眾多,5
民眾,5
高虹,5
未滿,5
一團,5
經驗,5
學長,5
ptt,5
幸運,5
政治,5
律動,5
一波,5
不正,5
瘋狂,5
當天,5
aka,5
登台,5
告訴,5
友善,5
每天,5
公開,5
夜店,5
觀光,5
一群,5
畢業,5
姐姐,5
回不去,5
到時候,5
物價,5
政府,5
處男,5
肥肥,5
更多,5
廣告,5
衣服,5
收到,5
對抗,5
上面,5
辦法,5
當成,5
自由時報,5
直呼,5
寶貝,5
男友,5
這麼多,5
小弟,5
薪水,5
還沒,5
拍子,5
女朋友,5
力道,5
只好,5
名單,5
音樂,5
後面,5
將在,5
林婷,5
所謂,5
那一,5
離職,5
36,5
天王,5
外型,5
合照,5
娛樂,5
棒球隊,5
之下,5
晚安,5
團長,5
老實說,5
擔心,5
復健,5
開訓,5
165,5
想必,5
追求,5
活力,5
一日,5
最愛,5
訪問,5
天花板,5
紛紛,5
斗內,5
韓妹,5
幹嘛,5
大咖,5
天團,5
周年,5
澄清,5
同樣,5
建議,5
整團,5
放電,5
前幾天,5
片段,5
焦點,5
最紅,5
更新,5
有多會,5
主義,5
帶來,5
1999,5
66,5
正妹,5
同隊,5
兩大,5
平均,5
分析,5
小孩,5
道歉,5
大批,5
晚上,5
事實,5
18,5
官方,5
通常,5
綜藝,5
細節,5
市場,5
心裡,5
回事,5
以後,5
競爭,5
接觸,5
注意,5
看法,5
週六,5
前面,5
不行,5
直言,5
魔鬼,5
優點,4
跳健康操,4
意淫,4
責任,4
很會搖,4
三場,4
內鬥,4
球衣,4
現實,4
曬出,4
交流,4
外星人,4
推薦,4
短今,4
不高,4
至少,4
背景,4
一看,4
批評,4
脫下,4
吸走,4
MLB,4
號的,4
景點,4
主持,4
電臀,4
年輕版,4
跳得,4
熱門,4
標準,4
小朋友,4
角度,4
相處,4
尚書,4
時期,4
不信,4
便當,4
點名,4
台積電,4
服裝,4
大量,4
全場,4
排班,4
溝通,4
最大,4
聽過,4
禮貌,4
25,4
進入,4
說明,4
彩香,4
節奏,4
中時,4
興趣,4
聊天,4
反應,4
挑戰,4
亮相,4
舞步,4
眼紅,4
號碼,4
足球隊,4
兩地,4
瞬間,4
天氣,4
退伍,4
答案,4
舒服,4
跑去,4
甜笑,4
88,4
史上,4
還不,4
排妹,4
球季,4
角色,4
臉書,4
貼貼,4
刺青,4
激烈,4
忘記,4
狒狒,4
社群,4
心韻,4
上傳,4
攝影,4
幸福,4
New,4
外界,4
Jeans,4
83,4
意見,4
林智群,4
有無,4
打招呼,4
降臨,4
社會,4
同事,4
要不要,4
統一,4
真正,4
幾年,4
放大,4
想法,4
引爆,4
買菸,4
隨即,4
有錢,4
不輸,4
整天,4
文明,4
絲襪,4
在場,4
環境,4
帳號,4
頂級,4
專訪,4
比不上,4
背後,4
想像,4
剛來,4
歐膩,4
班表,4
意義,4
皮膚,4
Irene,4
全州,4
企業,4
印象,4
退出,4
LINE,4
海放,4
嚴重,4
等於,4
臭豆腐,4
走到,4
傳出,4
配合,4
單眼,4
KPOP,4
聯名,4
WBC,4
待在,4
相似,4
重視,4
幾歲,4
隔天,4
狀況,4
一張,4
得到,4
SMA3460,4
穿搭,4
小時,4
日子,4
現役,4
兩邊,4
輸給,4
想當,4
1990,4
不敢,4
類型,4
普通,4
推文,4
庫存,4
開打,4
專屬,4
Instagram,4
符合,4
曉得,4
有什麼,4
民視,4
笑死,4
情人節,4
維護,4
還被,4
一口氣,4
幾天,4
店長,4
忍不住,4
有名,4
只見,4
刺激,4
同學,4
吳政,4
原芯,4
韓女,4
一大堆,4
買單,4
朝聖,4
舞風,4
檔次,4
原欣妤,4
不看,4
有個,4
買票,4
中年,4
面對,4
新球季,4
物化,4
條件,4
副隊長,4
反觀,4
菲菲,4
一篇,4
八卦版,4
舉行,4
階段,4
小籠包,4
感謝,4
問卦,4
可怕,4
輕鬆,4
高中,4
俏皮,4
全猿,4
跳到,4
沒人,4
新高,4
寫下,4
產生,4
舞者,4
包含,4
宅男,4
取代,4
開朗,4
特地,4
回到,4
芯芷軒,4
會有,4
陣子,3
難過,3
成軍,3
好歹,3
一睹,3
奇怪,3
吱吱,3
上衣,3
廣大,3
所有人,3
戰略,3
ASUS,3
暴動,3
中方,3
賺錢,3
和尚,3
不可能,3
我要,3
對著,3
纖細,3
體會,3
馬方,3
單場,3
戲劇,3
打爆,3
有趣,3
Sisters,3
